Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code_2;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;f_is_exchanged;f_invc_full_name;КВАЛ;Торговый календарь
1380;RPM;RPM International Inc.;Акции;Акции иностранного эмитента обыкновенные;;US7496851038;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1381;RRBI;Red River Bancshares, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US75686R2022;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
1382;RRC;Range Resources Corporation;Акции;Акции иностранного эмитента обыкновенные;;US75281A1097;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
1383;RRGB;Red Robin Gourmet Burgers, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US75689M1018;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1384;RRR;Red Rock Resorts, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US75700L1089;ESVUFR;1,00;0,01;USD;26.10.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1385;RRX;Regal Rexnord Corporation;Акции;Акции иностранного эмитента обыкновенные;;US7587501039;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
1386;RS;Reliance Steel & Aluminum Co.;Акции;Акции иностранного эмитента обыкновенные;;US7595091023;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1387;RSG;Republic Services, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US7607591002;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
1388;RSKD;Riskified Ltd.;Акции;Акции иностранного эмитента обыкновенные класса A;;IL0011786493;ESVUFR;1,00;0,01;USD;10.11.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1389;RTX;Raytheon Technologies Corporation;Акции;Акции иностранного эмитента обыкновенные;;US75513E1010;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
1390;RUN;Sunrun Inc.;Акции;Акции иностранного эмитента обыкновенные;;US86771W1053;ESVUFR;1,00;0,01;USD;10.06.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
